,year,region,indicator,no_accidents,x_x,y_x,driving_licenses,x_y,y_y
0,2016,Makkah,No. of Casualties - Injured,12383.0,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
1,2016,Makkah,No. of Accidents,134838.0,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
2,2016,Makkah,No. of Casualties - Dead,2243.0,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
3,2016,Eastern,No. of Casualties - Dead,1113.0,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
4,2016,Eastern,No. of Accidents,101619.0,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
5,2016,Eastern,No. of Casualties - Injured,4893.0,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
6,2016,Tabouk,No. of Casualties - Dead,434.0,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
7,2016,Tabouk,No. of Accidents,16031.0,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
8,2016,Tabouk,No. of Casualties - Injured,1724.0,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
9,2016,Hail,No. of Casualties - Dead,299.0,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
10,2016,Hail,No. of Accidents,10199.0,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
11,2016,Hail,No. of Casualties - Injured,932.0,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
12,2016,Northern Boarder,No. of Casualties - Dead,193.0,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
13,2016,Northern Boarder,No. of Casualties - Injured,631.0,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
14,2016,Northern Boarder,No. of Accidents,13196.0,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
15,2017,Jazan,No. of Accidents,22161.0,17.2072313962,42.6525807422,18345,17.2072313962,42.6525807422
16,2017,Jazan,No. of Casualties - Dead,466.0,17.2072313962,42.6525807422,18345,17.2072313962,42.6525807422
17,2017,Jazan,No. of Casualties - Injured,2207.0,17.2072313962,42.6525807422,18345,17.2072313962,42.6525807422
18,2017,Al-Jouf,No. of Accidents,10469.0,29.9677445762,39.5570371172,8091,29.9677445762,39.5570371172
19,2017,Al-Jouf,No. of Casualties - Injured,862.0,29.9677445762,39.5570371172,8091,29.9677445762,39.5570371172
20,2017,Al-Jouf,No. of Casualties - Dead,240.0,29.9677445762,39.5570371172,8091,29.9677445762,39.5570371172
21,2016,Jazan,No. of Casualties - Dead,514.0,17.2072313962,42.6525807422,11504,17.2072313962,42.6525807422
22,2016,Jazan,No. of Casualties - Injured,2259.0,17.2072313962,42.6525807422,11504,17.2072313962,42.6525807422
23,2016,Jazan,No. of Accidents,25873.0,17.2072313962,42.6525807422,11504,17.2072313962,42.6525807422
24,2016,Al-Baha,No. of Casualties - Injured,1227.0,20.1484058503,41.4665484892,4614,20.1484058503,41.4665484892
25,2016,Al-Baha,No. of Casualties - Dead,185.0,20.1484058503,41.4665484892,4614,20.1484058503,41.4665484892
26,2016,Al-Baha,No. of Accidents,3618.0,20.1484058503,41.4665484892,4614,20.1484058503,41.4665484892
27,2016,Al-Jouf,No. of Casualties - Injured,920.0,29.9677445762,39.5570371172,9371,29.9677445762,39.5570371172
28,2016,Al-Jouf,No. of Accidents,10212.0,29.9677445762,39.5570371172,9371,29.9677445762,39.5570371172
29,2016,Al-Jouf,No. of Casualties - Dead,245.0,29.9677445762,39.5570371172,9371,29.9677445762,39.5570371172
30,2017,Riyadh,No. of Accidents,99925.0,23.0814341634,45.5857512766,495307,23.0814341634,45.5857512766
31,2017,Riyadh,No. of Casualties - Injured,4540.0,23.0814341634,45.5857512766,495307,23.0814341634,45.5857512766
32,2017,Riyadh,No. of Casualties - Dead,1399.0,23.0814341634,45.5857512766,495307,23.0814341634,45.5857512766
33,2017,Madinah,No. of Casualties - Dead,580.0,24.927534539,39.4918237173,36165,24.927534539,39.4918237173
34,2017,Madinah,No. of Casualties - Injured,2917.0,24.927534539,39.4918237173,36165,24.927534539,39.4918237173
35,2017,Madinah,No. of Accidents,16070.0,24.927534539,39.4918237173,36165,24.927534539,39.4918237173
36,2017,Al-Qaseem,No. of Accidents,22405.0,26.1967063704,43.3429998455,6318,26.1967063704,43.3429998455
37,2017,Al-Qaseem,No. of Casualties - Injured,1446.0,26.1967063704,43.3429998455,6318,26.1967063704,43.3429998455
38,2017,Al-Qaseem,No. of Casualties - Dead,319.0,26.1967063704,43.3429998455,6318,26.1967063704,43.3429998455
39,2017,Eastern,No. of Accidents,81433.0,23.2883307307,50.1478302439,126816,23.2883307307,50.1478302439
40,2017,Eastern,No. of Casualties - Dead,963.0,23.2883307307,50.1478302439,126816,23.2883307307,50.1478302439
41,2017,Eastern,No. of Casualties - Injured,4073.0,23.2883307307,50.1478302439,126816,23.2883307307,50.1478302439
42,2017,Tabouk,No. of Accidents,11713.0,27.90165499,37.2598581394,10232,27.90165499,37.2598581394
43,2017,Tabouk,No. of Casualties - Injured,1243.0,27.90165499,37.2598581394,10232,27.90165499,37.2598581394
44,2017,Tabouk,No. of Casualties - Dead,348.0,27.90165499,37.2598581394,10232,27.90165499,37.2598581394
45,2017,Northern Boarder,No. of Accidents,11540.0,30.197074783,41.8171186952,5280,30.197074783,41.8171186952
46,2017,Northern Boarder,No. of Casualties - Dead,112.0,30.197074783,41.8171186952,5280,30.197074783,41.8171186952
47,2017,Northern Boarder,No. of Casualties - Injured,374.0,30.197074783,41.8171186952,5280,30.197074783,41.8171186952
48,2017,Najran,No. of Casualties - Dead,194.0,18.4511003068,46.8688495726,13825,18.4511003068,46.8688495726
49,2017,Najran,No. of Accidents,3193.0,18.4511003068,46.8688495726,13825,18.4511003068,46.8688495726
50,2017,Najran,No. of Casualties - Injured,766.0,18.4511003068,46.8688495726,13825,18.4511003068,46.8688495726
51,2016,Madinah,No. of Casualties - Dead,822.0,24.927534539,39.4918237173,24540,24.927534539,39.4918237173
52,2016,Madinah,No. of Accidents,14475.0,24.927534539,39.4918237173,24540,24.927534539,39.4918237173
53,2016,Madinah,No. of Casualties - Injured,4184.0,24.927534539,39.4918237173,24540,24.927534539,39.4918237173
54,2016,Assir,No. of Casualties - Dead,983.0,19.1387847401,42.941470036,41367,19.1387847401,42.941470036
55,2016,Assir,No. of Casualties - Injured,2541.0,19.1387847401,42.941470036,41367,19.1387847401,42.941470036
56,2016,Assir,No. of Accidents,32684.0,19.1387847401,42.941470036,41367,19.1387847401,42.941470036
57,2016,Riyadh,No. of Casualties - Dead,1430.0,23.0814341634,45.5857512766,242851,23.0814341634,45.5857512766
58,2016,Riyadh,No. of Accidents,141736.0,23.0814341634,45.5857512766,242851,23.0814341634,45.5857512766
59,2016,Riyadh,No. of Casualties - Injured,4207.0,23.0814341634,45.5857512766,242851,23.0814341634,45.5857512766
60,2016,Al-Qaseem,No. of Accidents,25664.0,26.1967063704,43.3429998455,9180,26.1967063704,43.3429998455
61,2016,Al-Qaseem,No. of Casualties - Injured,1513.0,26.1967063704,43.3429998455,9180,26.1967063704,43.3429998455
62,2016,Al-Qaseem,No. of Casualties - Dead,397.0,26.1967063704,43.3429998455,9180,26.1967063704,43.3429998455
63,2017,Makkah,No. of Casualties - Injured,10623.0,21.628962766,41.2636898334,142487,21.628962766,41.2636898334
64,2017,Makkah,No. of Casualties - Dead,1641.0,21.628962766,41.2636898334,142487,21.628962766,41.2636898334
65,2017,Makkah,No. of Accidents,145541.0,21.628962766,41.2636898334,142487,21.628962766,41.2636898334
66,2017,Assir,No. of Accidents,25245.0,19.1387847401,42.941470036,39133,19.1387847401,42.941470036
67,2017,Assir,No. of Casualties - Dead,828.0,19.1387847401,42.941470036,39133,19.1387847401,42.941470036
68,2017,Assir,No. of Casualties - Injured,2368.0,19.1387847401,42.941470036,39133,19.1387847401,42.941470036
69,2017,Hail,No. of Casualties - Dead,265.0,27.400845724,41.4406960508,22035,27.400845724,41.4406960508
70,2017,Hail,No. of Accidents,9379.0,27.400845724,41.4406960508,22035,27.400845724,41.4406960508
71,2017,Hail,No. of Casualties - Injured,773.0,27.400845724,41.4406960508,22035,27.400845724,41.4406960508
72,2016,Najran,No. of Accidents,3235.0,18.4511003068,46.8688495726,2153,18.4511003068,46.8688495726
73,2016,Najran,No. of Casualties - Dead,173.0,18.4511003068,46.8688495726,2153,18.4511003068,46.8688495726
74,2016,Najran,No. of Casualties - Injured,706.0,18.4511003068,46.8688495726,2153,18.4511003068,46.8688495726
75,2017,Al-Baha,No. of Casualties - Dead,134.0,20.1484058503,41.4665484892,4131,20.1484058503,41.4665484892
76,2017,Al-Baha,No. of Accidents,1414.0,20.1484058503,41.4665484892,4131,20.1484058503,41.4665484892
77,2017,Al-Baha,No. of Casualties - Injured,1007.0,20.1484058503,41.4665484892,4131,20.1484058503,41.4665484892
78,2012,Makkah,,,,,143954,21.628962766,41.2636898334
79,1994,Makkah,,,,,75349,21.628962766,41.2636898334
80,1998,Makkah,,,,,86082,21.628962766,41.2636898334
81,2004,Makkah,,,,,86636,21.628962766,41.2636898334
82,2005,Makkah,,,,,65099,21.628962766,41.2636898334
83,2008,Makkah,,,,,77013,21.628962766,41.2636898334
84,2014,Madinah,,,,,31447,24.927534539,39.4918237173
85,2013,Madinah,,,,,28513,24.927534539,39.4918237173
86,2012,Madinah,,,,,14459,24.927534539,39.4918237173
87,1994,Madinah,,,,,3767,24.927534539,39.4918237173
88,1998,Madinah,,,,,13020,24.927534539,39.4918237173
89,2000,Madinah,,,,,9562,24.927534539,39.4918237173
90,2007,Madinah,,,,,12174,24.927534539,39.4918237173
91,2004,Madinah,,,,,10556,24.927534539,39.4918237173
92,1995,Al-Qaseem,,,,,49690,26.1967063704,43.3429998455
93,1996,Al-Qaseem,,,,,42693,26.1967063704,43.3429998455
94,2015,Eastern,,,,,135752,23.2883307307,50.1478302439
95,2015,Assir,,,,,38567,19.1387847401,42.941470036
96,1995,Assir,,,,,4889,19.1387847401,42.941470036
97,1996,Assir,,,,,3319,19.1387847401,42.941470036
98,1998,Assir,,,,,13220,19.1387847401,42.941470036
99,2010,Tabouk,,,,,10345,27.90165499,37.2598581394
100,2013,Tabouk,,,,,12848,27.90165499,37.2598581394
101,1996,Tabouk,,,,,2263,27.90165499,37.2598581394
102,1998,Tabouk,,,,,6823,27.90165499,37.2598581394
103,2001,Tabouk,,,,,6344,27.90165499,37.2598581394
104,2007,Tabouk,,,,,11045,27.90165499,37.2598581394
105,2007,Hail,,,,,4021,27.400845724,41.4406960508
106,2004,Hail,,,,,8656,27.400845724,41.4406960508
107,2005,Hail,,,,,16247,27.400845724,41.4406960508
108,2009,Hail,,,,,7282,27.400845724,41.4406960508
109,2012,Northern Boarder,,,,,3706,30.197074783,41.8171186952
110,1993,Northern Boarder,,,,,1510,30.197074783,41.8171186952
111,2000,Northern Boarder,,,,,2894,30.197074783,41.8171186952
112,2005,Northern Boarder,,,,,1804,30.197074783,41.8171186952
113,2010,Jazan,,,,,12270,17.2072313962,42.6525807422
114,1993,Jazan,,,,,6009,17.2072313962,42.6525807422
115,1997,Jazan,,,,,5695,17.2072313962,42.6525807422
116,2000,Jazan,,,,,5678,17.2072313962,42.6525807422
117,2001,Jazan,,,,,10631,17.2072313962,42.6525807422
118,2008,Jazan,,,,,11346,17.2072313962,42.6525807422
119,2010,Najran,,,,,6360,18.4511003068,46.8688495726
120,2013,Najran,,,,,8996,18.4511003068,46.8688495726
121,1995,Najran,,,,,3268,18.4511003068,46.8688495726
122,1999,Najran,,,,,3959,18.4511003068,46.8688495726
123,2003,Najran,,,,,4443,18.4511003068,46.8688495726
124,2009,Najran,,,,,6771,18.4511003068,46.8688495726
125,2015,Al-Baha,,,,,4856,20.1484058503,41.4665484892
126,2011,Al-Baha,,,,,6450,20.1484058503,41.4665484892
127,1994,Al-Baha,,,,,2729,20.1484058503,41.4665484892
128,1996,Al-Baha,,,,,1468,20.1484058503,41.4665484892
129,2010,Al-Jouf,,,,,10937,29.9677445762,39.5570371172
130,1996,Al-Jouf,,,,,2518,29.9677445762,39.5570371172
131,2000,Al-Jouf,,,,,4666,29.9677445762,39.5570371172
132,2001,Al-Jouf,,,,,4756,29.9677445762,39.5570371172
133,2011,Riyadh,,,,,27772,23.0814341634,45.5857512766
134,2013,Riyadh,,,,,165994,23.0814341634,45.5857512766
135,1999,Riyadh,,,,,100291,23.0814341634,45.5857512766
136,2005,Riyadh,,,,,23245,23.0814341634,45.5857512766
137,2015,Makkah,,,,,157389,21.628962766,41.2636898334
138,2013,Makkah,,,,,131108,21.628962766,41.2636898334
139,1997,Riyadh,,,,,92145,23.0814341634,45.5857512766
140,2001,Riyadh,,,,,13090,23.0814341634,45.5857512766
141,2014,Makkah,,,,,149234,21.628962766,41.2636898334
142,2010,Makkah,,,,,113531,21.628962766,41.2636898334
143,1997,Makkah,,,,,76623,21.628962766,41.2636898334
144,1999,Makkah,,,,,103535,21.628962766,41.2636898334
145,2000,Makkah,,,,,87053,21.628962766,41.2636898334
146,2006,Makkah,,,,,66967,21.628962766,41.2636898334
147,2009,Makkah,,,,,112045,21.628962766,41.2636898334
148,2010,Madinah,,,,,15045,24.927534539,39.4918237173
149,1995,Madinah,,,,,4155,24.927534539,39.4918237173
150,1996,Madinah,,,,,3425,24.927534539,39.4918237173
151,1999,Madinah,,,,,11108,24.927534539,39.4918237173
152,2003,Madinah,,,,,12920,24.927534539,39.4918237173
153,2015,Al-Qaseem,,,,,13631,26.1967063704,43.3429998455
154,2014,Al-Qaseem,,,,,29113,26.1967063704,43.3429998455
155,2010,Al-Qaseem,,,,,36737,26.1967063704,43.3429998455
156,2013,Al-Qaseem,,,,,17889,26.1967063704,43.3429998455
157,1994,Al-Qaseem,,,,,68916,26.1967063704,43.3429998455
158,2003,Al-Qaseem,,,,,10666,26.1967063704,43.3429998455
159,2000,Al-Qaseem,,,,,12226,26.1967063704,43.3429998455
160,2006,Al-Qaseem,,,,,12142,26.1967063704,43.3429998455
161,2007,Al-Qaseem,,,,,25174,26.1967063704,43.3429998455
162,2011,Eastern,,,,,151087,23.2883307307,50.1478302439
163,2012,Eastern,,,,,129971,23.2883307307,50.1478302439
164,2012,Assir,,,,,23136,19.1387847401,42.941470036
165,1997,Assir,,,,,12204,19.1387847401,42.941470036
166,2003,Assir,,,,,15693,19.1387847401,42.941470036
167,2008,Assir,,,,,18800,19.1387847401,42.941470036
168,2011,Tabouk,,,,,12820,27.90165499,37.2598581394
169,1994,Tabouk,,,,,3282,27.90165499,37.2598581394
170,2003,Tabouk,,,,,9873,27.90165499,37.2598581394
171,2008,Tabouk,,,,,14928,27.90165499,37.2598581394
172,2009,Tabouk,,,,,9424,27.90165499,37.2598581394
173,2014,Hail,,,,,10417,27.400845724,41.4406960508
174,2010,Hail,,,,,7637,27.400845724,41.4406960508
175,1995,Hail,,,,,9735,27.400845724,41.4406960508
176,2002,Hail,,,,,5070,27.400845724,41.4406960508
177,2001,Hail,,,,,6077,27.400845724,41.4406960508
178,2008,Hail,,,,,7413,27.400845724,41.4406960508
179,2011,Northern Boarder,,,,,4314,30.197074783,41.8171186952
180,1999,Northern Boarder,,,,,2311,30.197074783,41.8171186952
181,1998,Northern Boarder,,,,,2014,30.197074783,41.8171186952
182,2001,Northern Boarder,,,,,2971,30.197074783,41.8171186952
183,2006,Northern Boarder,,,,,2573,30.197074783,41.8171186952
184,2004,Northern Boarder,,,,,1922,30.197074783,41.8171186952
185,2014,Jazan,,,,,15621,17.2072313962,42.6525807422
186,2011,Jazan,,,,,10946,17.2072313962,42.6525807422
187,1994,Jazan,,,,,3826,17.2072313962,42.6525807422
188,1999,Jazan,,,,,4792,17.2072313962,42.6525807422
189,2009,Jazan,,,,,9437,17.2072313962,42.6525807422
190,2012,Najran,,,,,9201,18.4511003068,46.8688495726
191,2000,Najran,,,,,4905,18.4511003068,46.8688495726
192,2006,Najran,,,,,5897,18.4511003068,46.8688495726
193,2007,Najran,,,,,7226,18.4511003068,46.8688495726
194,2014,Al-Baha,,,,,7268,20.1484058503,41.4665484892
195,2012,Al-Baha,,,,,7593,20.1484058503,41.4665484892
196,1993,Al-Baha,,,,,3270,20.1484058503,41.4665484892
197,1995,Al-Baha,,,,,2423,20.1484058503,41.4665484892
198,1998,Al-Baha,,,,,5110,20.1484058503,41.4665484892
199,2002,Al-Baha,,,,,3335,20.1484058503,41.4665484892
200,2003,Al-Baha,,,,,3616,20.1484058503,41.4665484892
201,2005,Al-Baha,,,,,2698,20.1484058503,41.4665484892
202,2014,Al-Jouf,,,,,9982,29.9677445762,39.5570371172
203,2012,Al-Jouf,,,,,10246,29.9677445762,39.5570371172
204,1994,Al-Jouf,,,,,2535,29.9677445762,39.5570371172
205,2004,Al-Jouf,,,,,4601,29.9677445762,39.5570371172
206,2012,Riyadh,,,,,23888,23.0814341634,45.5857512766
207,1993,Riyadh,,,,,103886,23.0814341634,45.5857512766
208,1995,Riyadh,,,,,101608,23.0814341634,45.5857512766
209,1994,Riyadh,,,,,110545,23.0814341634,45.5857512766
210,2014,Riyadh,,,,,194208,23.0814341634,45.5857512766
211,1996,Riyadh,,,,,110131,23.0814341634,45.5857512766
212,2005,Al-Jouf,,,,,3558,29.9677445762,39.5570371172
213,2008,Al-Jouf,,,,,10929,29.9677445762,39.5570371172
214,2009,Al-Jouf,,,,,10567,29.9677445762,39.5570371172
215,2010,Northern Boarder,,,,,3064,30.197074783,41.8171186952
216,1996,Northern Boarder,,,,,1383,30.197074783,41.8171186952
217,2002,Northern Boarder,,,,,2268,30.197074783,41.8171186952
218,2009,Northern Boarder,,,,,3649,30.197074783,41.8171186952
219,2015,Jazan,,,,,13931,17.2072313962,42.6525807422
220,2013,Jazan,,,,,14175,17.2072313962,42.6525807422
221,2007,Jazan,,,,,12634,17.2072313962,42.6525807422
222,2005,Jazan,,,,,5502,17.2072313962,42.6525807422
223,2015,Najran,,,,,1864,18.4511003068,46.8688495726
224,1996,Najran,,,,,3274,18.4511003068,46.8688495726
225,2008,Najran,,,,,7938,18.4511003068,46.8688495726
226,1999,Al-Baha,,,,,4246,20.1484058503,41.4665484892
227,2000,Al-Baha,,,,,4832,20.1484058503,41.4665484892
228,2001,Al-Baha,,,,,7594,20.1484058503,41.4665484892
229,2007,Al-Baha,,,,,997,20.1484058503,41.4665484892
230,2015,Al-Jouf,,,,,10233,29.9677445762,39.5570371172
231,1997,Al-Jouf,,,,,3565,29.9677445762,39.5570371172
232,1998,Al-Jouf,,,,,3476,29.9677445762,39.5570371172
233,2002,Al-Jouf,,,,,5940,29.9677445762,39.5570371172
234,2006,Al-Jouf,,,,,4846,29.9677445762,39.5570371172
235,1993,Makkah,,,,,65977,21.628962766,41.2636898334
236,1995,Makkah,,,,,60356,21.628962766,41.2636898334
237,2001,Makkah,,,,,85593,21.628962766,41.2636898334
238,2001,Madinah,,,,,13561,24.927534539,39.4918237173
239,2006,Madinah,,,,,11204,24.927534539,39.4918237173
240,2009,Madinah,,,,,11574,24.927534539,39.4918237173
241,2001,Al-Qaseem,,,,,14718,26.1967063704,43.3429998455
242,2013,Eastern,,,,,123325,23.2883307307,50.1478302439
243,1996,Eastern,,,,,8461,23.2883307307,50.1478302439
244,2002,Eastern,,,,,85035,23.2883307307,50.1478302439
245,2000,Eastern,,,,,65767,23.2883307307,50.1478302439
246,2001,Eastern,,,,,74119,23.2883307307,50.1478302439
247,2006,Eastern,,,,,79517,23.2883307307,50.1478302439
248,2007,Eastern,,,,,106511,23.2883307307,50.1478302439
249,2008,Eastern,,,,,104626,23.2883307307,50.1478302439
250,2014,Assir,,,,,29552,19.1387847401,42.941470036
251,2011,Assir,,,,,24515,19.1387847401,42.941470036
252,1999,Assir,,,,,14625,19.1387847401,42.941470036
253,2002,Assir,,,,,20417,19.1387847401,42.941470036
254,2000,Assir,,,,,18622,19.1387847401,42.941470036
255,2006,Assir,,,,,20330,19.1387847401,42.941470036
256,2007,Assir,,,,,10835,19.1387847401,42.941470036
257,2015,Tabouk,,,,,915,27.90165499,37.2598581394
258,1993,Tabouk,,,,,3174,27.90165499,37.2598581394
259,1997,Tabouk,,,,,5426,27.90165499,37.2598581394
260,2002,Tabouk,,,,,8794,27.90165499,37.2598581394
261,2005,Tabouk,,,,,6511,27.90165499,37.2598581394
262,1993,Hail,,,,,10484,27.400845724,41.4406960508
263,1996,Hail,,,,,10267,27.400845724,41.4406960508
264,2003,Hail,,,,,3861,27.400845724,41.4406960508
265,2006,Hail,,,,,8166,27.400845724,41.4406960508
266,2003,Northern Boarder,,,,,1705,30.197074783,41.8171186952
267,1995,Jazan,,,,,2284,17.2072313962,42.6525807422
268,1998,Jazan,,,,,2613,17.2072313962,42.6525807422
269,2003,Jazan,,,,,5220,17.2072313962,42.6525807422
270,2004,Jazan,,,,,5016,17.2072313962,42.6525807422
271,1993,Najran,,,,,3769,18.4511003068,46.8688495726
272,1997,Najran,,,,,3073,18.4511003068,46.8688495726
273,2002,Najran,,,,,5117,18.4511003068,46.8688495726
274,2005,Najran,,,,,4779,18.4511003068,46.8688495726
275,2010,Al-Baha,,,,,7076,20.1484058503,41.4665484892
276,2013,Al-Baha,,,,,7482,20.1484058503,41.4665484892
277,1997,Al-Baha,,,,,3027,20.1484058503,41.4665484892
278,2006,Al-Baha,,,,,3593,20.1484058503,41.4665484892
279,1993,Al-Jouf,,,,,2884,29.9677445762,39.5570371172
280,1995,Al-Jouf,,,,,2270,29.9677445762,39.5570371172
281,1999,Al-Jouf,,,,,3950,29.9677445762,39.5570371172
282,2007,Al-Jouf,,,,,9097,29.9677445762,39.5570371172
283,2010,Riyadh,,,,,31378,23.0814341634,45.5857512766
284,2003,Riyadh,,,,,26076,23.0814341634,45.5857512766
285,2000,Riyadh,,,,,45345,23.0814341634,45.5857512766
286,2006,Riyadh,,,,,36059,23.0814341634,45.5857512766
287,2008,Riyadh,,,,,36798,23.0814341634,45.5857512766
288,2011,Makkah,,,,,110647,21.628962766,41.2636898334
289,2011,Madinah,,,,,14630,24.927534539,39.4918237173
290,1993,Madinah,,,,,4122,24.927534539,39.4918237173
291,2002,Madinah,,,,,10494,24.927534539,39.4918237173
292,2005,Madinah,,,,,10210,24.927534539,39.4918237173
293,2012,Al-Qaseem,,,,,11421,26.1967063704,43.3429998455
294,2004,Al-Qaseem,,,,,9390,26.1967063704,43.3429998455
295,2005,Al-Qaseem,,,,,10480,26.1967063704,43.3429998455
296,2014,Eastern,,,,,121774,23.2883307307,50.1478302439
297,2010,Eastern,,,,,110295,23.2883307307,50.1478302439
298,1995,Eastern,,,,,7831,23.2883307307,50.1478302439
299,1994,Eastern,,,,,10918,23.2883307307,50.1478302439
300,1997,Eastern,,,,,58814,23.2883307307,50.1478302439
301,2003,Eastern,,,,,82697,23.2883307307,50.1478302439
302,2009,Eastern,,,,,108544,23.2883307307,50.1478302439
303,2013,Assir,,,,,29730,19.1387847401,42.941470036
304,2001,Assir,,,,,20321,19.1387847401,42.941470036
305,2005,Assir,,,,,18565,19.1387847401,42.941470036
306,2014,Tabouk,,,,,12188,27.90165499,37.2598581394
307,1995,Tabouk,,,,,2051,27.90165499,37.2598581394
308,2004,Tabouk,,,,,7532,27.90165499,37.2598581394
309,2015,Hail,,,,,7172,27.400845724,41.4406960508
310,2011,Hail,,,,,9123,27.400845724,41.4406960508
311,2012,Hail,,,,,11082,27.400845724,41.4406960508
312,1994,Hail,,,,,11131,27.400845724,41.4406960508
313,1998,Hail,,,,,4708,27.400845724,41.4406960508
314,2000,Hail,,,,,3215,27.400845724,41.4406960508
315,2015,Northern Boarder,,,,,3837,30.197074783,41.8171186952
316,2014,Northern Boarder,,,,,5009,30.197074783,41.8171186952
317,2013,Northern Boarder,,,,,3921,30.197074783,41.8171186952
318,1995,Northern Boarder,,,,,1318,30.197074783,41.8171186952
319,1994,Northern Boarder,,,,,1457,30.197074783,41.8171186952
320,1997,Northern Boarder,,,,,1531,30.197074783,41.8171186952
321,2007,Northern Boarder,,,,,3479,30.197074783,41.8171186952
322,2008,Northern Boarder,,,,,3519,30.197074783,41.8171186952
323,2012,Jazan,,,,,11156,17.2072313962,42.6525807422
324,1996,Jazan,,,,,2226,17.2072313962,42.6525807422
325,2002,Jazan,,,,,5254,17.2072313962,42.6525807422
326,2006,Jazan,,,,,7955,17.2072313962,42.6525807422
327,2015,Riyadh,,,,,24548,23.0814341634,45.5857512766
328,1998,Riyadh,,,,,114962,23.0814341634,45.5857512766
329,2002,Riyadh,,,,,25423,23.0814341634,45.5857512766
330,2007,Riyadh,,,,,36261,23.0814341634,45.5857512766
331,2004,Riyadh,,,,,23479,23.0814341634,45.5857512766
332,2009,Riyadh,,,,,38014,23.0814341634,45.5857512766
333,1996,Makkah,,,,,46195,21.628962766,41.2636898334
334,2014,Najran,,,,,9601,18.4511003068,46.8688495726
335,2011,Najran,,,,,7314,18.4511003068,46.8688495726
336,1994,Najran,,,,,3880,18.4511003068,46.8688495726
337,1998,Najran,,,,,4322,18.4511003068,46.8688495726
338,2001,Najran,,,,,4950,18.4511003068,46.8688495726
339,2004,Najran,,,,,4609,18.4511003068,46.8688495726
340,2004,Al-Baha,,,,,3410,20.1484058503,41.4665484892
341,2008,Al-Baha,,,,,5418,20.1484058503,41.4665484892
342,2009,Al-Baha,,,,,9815,20.1484058503,41.4665484892
343,2011,Al-Jouf,,,,,10180,29.9677445762,39.5570371172
344,2013,Al-Jouf,,,,,11602,29.9677445762,39.5570371172
345,2003,Al-Jouf,,,,,3852,29.9677445762,39.5570371172
346,2002,Makkah,,,,,88593,21.628962766,41.2636898334
347,2003,Makkah,,,,,74236,21.628962766,41.2636898334
348,2007,Makkah,,,,,91902,21.628962766,41.2636898334
349,2015,Madinah,,,,,22744,24.927534539,39.4918237173
350,1997,Madinah,,,,,10495,24.927534539,39.4918237173
351,2008,Madinah,,,,,9194,24.927534539,39.4918237173
352,2011,Al-Qaseem,,,,,10760,26.1967063704,43.3429998455
353,1993,Al-Qaseem,,,,,73618,26.1967063704,43.3429998455
354,1997,Al-Qaseem,,,,,10092,26.1967063704,43.3429998455
355,1999,Al-Qaseem,,,,,9983,26.1967063704,43.3429998455
356,1998,Al-Qaseem,,,,,11350,26.1967063704,43.3429998455
357,2002,Al-Qaseem,,,,,16298,26.1967063704,43.3429998455
358,2008,Al-Qaseem,,,,,22236,26.1967063704,43.3429998455
359,2009,Al-Qaseem,,,,,27571,26.1967063704,43.3429998455
360,1993,Eastern,,,,,9964,23.2883307307,50.1478302439
361,1999,Eastern,,,,,64973,23.2883307307,50.1478302439
362,1998,Eastern,,,,,70650,23.2883307307,50.1478302439
363,2004,Eastern,,,,,84984,23.2883307307,50.1478302439
364,2005,Eastern,,,,,82505,23.2883307307,50.1478302439
365,2010,Assir,,,,,21835,19.1387847401,42.941470036
366,1993,Assir,,,,,6226,19.1387847401,42.941470036
367,1994,Assir,,,,,5185,19.1387847401,42.941470036
368,2004,Assir,,,,,17947,19.1387847401,42.941470036
369,2009,Assir,,,,,21582,19.1387847401,42.941470036
370,2012,Tabouk,,,,,11391,27.90165499,37.2598581394
371,1999,Tabouk,,,,,5298,27.90165499,37.2598581394
372,2000,Tabouk,,,,,8473,27.90165499,37.2598581394
373,2006,Tabouk,,,,,8259,27.90165499,37.2598581394
374,2013,Hail,,,,,9731,27.400845724,41.4406960508
375,1997,Hail,,,,,6606,27.400845724,41.4406960508
376,1999,Hail,,,,,3139,27.400845724,41.4406960508
